scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Cercopithecus doggetti,1,50,0.45732746098598,NA,NA,2.3,0.999194395114446,arboreal,0.1,0.09991943951144461,NA,-0.4501135406394374
Cercopithecus dryas,1,50,0.45732746098598,NA,NA,1.59,0.9996149730606797,arboreal,0.1,0.09996149730606797,NA,-0.44998576590308825
Cercopithecus erythrogaster,1,50,0.45732746098598,24,3.1780538303479458,6.06,0.9944118881299167,arboreal,0.1,0.09944118881299167,2.3865885315118,-0.45156650215230065
Cercopithecus erythrotis,1,50,0.45732746098598,NA,NA,4.970000000000001,0.9962401961736361,arboreal,0.1,0.09962401961736361,NA,-0.4510110484478365
Cercopithecus hamlyni,1,50,0.45732746098598,28.6,3.353406717825807,1.75,0.9995335908367129,arboreal,0.1,0.0999533590836713,2.8586660697929993,-0.450010490433473
Cercopithecus kandti,1,60,0.961219172545078,NA,NA,2.16,0.9992894726405892,arboreal,0.1,0.09992894726405893,NA,-0.4500846553734731
Cercopithecus lhoesti,1,50,0.45732746098598,16,2.772588722239781,1.1300000000000001,0.9998055233121944,arboreal,0.1,0.09998055233121944,1.599688837299511,-0.44992787530666817
Cercopithecus lowei,1,50,0.45732746098598,NA,NA,6.3,0.9939609554551797,arboreal,0.1,0.09939609554551798,NA,-0.45170349888297034
Cercopithecus mitis,1,50,0.45732746098598,27.1,3.299533727885655,1.9,0.9994502159417572,arboreal,0.1,0.09994502159417573,2.7085100852021626,-0.45003582035225864
Cercopithecus mona,1,50,0.45732746098598,30,3.4011973816621555,6.83,0.9929033758229756,arboreal,0.1,0.09929033758229756,2.978710127468927,-0.45202479951198177
Cercopithecus neglectus,1,50,0.45732746098598,26.3,3.269568939183719,1.11,0.9998123463078188,arboreal,0.1,0.09998123463078189,2.629506470789564,-0.44992580242939334
Cercopithecus nictitans,1,50,0.45732746098598,23,3.1354942159291497,1.6900000000000002,0.9995650226315503,arboreal,0.1,0.09995650226315504,2.298999552052566,-0.4500009412183173
Cercopithecus petaurista,1,30,-0.5504559621322163,19,2.9444389791664403,8.93,0.9878787241768515,arboreal,0.1,0.09878787241768516,1.876969575936018,-0.4535513263902444
Cercopithecus pogonias,1,50,0.45732746098598,24.1,3.1822118404966093,1.53,0.999643481727238,arboreal,0.1,0.09996434817272382,2.409140790962644,-0.44997710475624064
Cercopithecus preussi,1,50,0.45732746098598,NA,NA,4.78,0.9965220076166375,arboreal,0.1,0.09965220076166376,NA,-0.450925432016561
Cercopithecus roloway,1,50,0.45732746098598,NA,NA,5.970000000000001,0.9945764900142456,arboreal,0.1,0.09945764900142456,NA,-0.4515164948645647
Cercopithecus sclateri,1,50,0.45732746098598,NA,NA,5.4,0.99556196460308,arboreal,0.1,0.099556196460308,NA,-0.451217100288851
Cercopithecus solatus,1,50,0.45732746098598,NA,NA,0.8,0.9999025240093042,arboreal,0.1,0.09999025240093043,NA,-0.4498984057669315
Cercopithecus wolfi,1,70,1.4651108841041762,24,3.1780538303479458,1.87,0.9994674389493003,arboreal,0.1,0.09994674389493004,2.398721853478321,-0.45003058787331474
Chlorocebus aethiops,1,40,-0.04656425057311814,31.6,3.4531571205928664,12.6,0.9759167619387474,scansorial,1,0.9759167619387474,30.83896967726442,2.2112320652852606
Chlorocebus cynosuros,1,40,-0.04656425057311814,NA,NA,10.219999999999999,0.9841337337744002,scansorial,1,0.9841337337744002,NA,2.236195842375614
Chlorocebus djamdjamensis,1,10,-1.5582393852504124,NA,NA,6.7,0.9931706495384861,scansorial,1,0.9931706495384861,NA,2.263650670654336
Chlorocebus pygerythrus,1,40,-0.04656425057311814,NA,NA,13.19,0.9736187427898355,scansorial,1,0.9736187427898355,NA,2.204250510652946
Chlorocebus sabaeus,1,40,-0.04656425057311814,NA,NA,11.44,0.980132944891586,scansorial,1,0.980132944891586,NA,2.2240411455050726
Chlorocebus tantalus,1,50,0.45732746098598,NA,NA,7.17,0.9921801896421792,scansorial,1,0.9921801896421792,NA,2.2606415791589685
Colobus angolensis,1,30,-0.5504559621322163,35.3,3.563882963939251,4.159999999999999,0.9973653640879485,arboreal,0.1,0.09973653640879486,3.5206997352304583,-0.45066921399149523
Colobus guereza,1,30,-0.5504559621322163,24.5,3.1986731175506815,5.1499999999999995,0.9959631112479873,arboreal,0.1,0.09959631112479873,2.440109622557569,-0.4510952289276695
Colobus polykomos,1,30,-0.5504559621322163,30.5,3.417726683613366,9.06,0.9875239812756824,arboreal,0.1,0.09875239812756825,3.011948142890832,-0.45365909994583514
Colobus satanas,1,30,-0.5504559621322163,NA,NA,1.97,0.9994089633576715,arboreal,0.1,0.09994089633576715,NA,-0.4500483531968895
