scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Macaca ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,macaca ochreata,1,1,1,FALSE,30,29,3.367295829986474,4.7,0.9966373868180366,scansorial,FALSE,1,28.90248421772306,-0.5472067671283634,0.062238611775706255,-0.04359065546822307
Macaca pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,macaca pagensis,1,1,1,FALSE,60,30,3.4011973816621555,2.68,0.9989062573590616,scansorial,FALSE,1,29.967187720771847,0.9642850957322994,0.16747827513257457,0.03369972683442115
Macaca radiata,Macaca radiata,macaca radiata,macaca radiata,macaca radiata,1,1,1,FALSE,30,30,3.4011973816621555,14.59,0.9677531501451416,scansorial,FALSE,1,29.03259450435425,-0.5472067671283634,0.07509924642668914,0.03369972683442115
Macaca silenus,Macaca silenus,macaca silenus,macaca silenus,macaca silenus,1,1,1,FALSE,30,40,3.6888794541139363,13.19,0.9736187427898355,scansorial,FALSE,1,38.94474971159342,-0.5472067671283634,1.0548573426138492,0.8066035498608634
Macaca sinica,Macaca sinica,macaca sinica,macaca sinica,macaca sinica,1,1,1,FALSE,30,35,3.5553480614894135,7.87,0.9905812932541447,scansorial,FALSE,1,34.670345263895065,-0.5472067671283634,0.6323576665643539,0.42015163834764224
Macaca sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,macaca sylvanus,1,1,1,FALSE,30,22,3.091042453358316,34.21,0.82698245962176,scansorial,FALSE,1,18.19361411167872,-0.5472067671283634,-0.9962700544072923,-0.5846233315867326
Macaca thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,macaca thibetana,1,1,1,FALSE,30,27,3.295836866004329,28.38,0.8798145434409992,scansorial,FALSE,1,23.75499267290698,-0.5472067671283634,-0.4465605757516667,-0.1981714200735115
Macaca tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,macaca tonkeana,1,1,1,FALSE,30,28.4,3.3463891451671604,1.1,0.9998157121216442,scansorial,FALSE,1,28.394766224254695,-0.5472067671283634,0.012053681830578573,-0.0899648848498097
Mandrillus leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,1,1,1,FALSE,40,33.4,3.5085558999826545,5.21,0.9958685650785236,scansorial,FALSE,1,33.26201007362269,-0.043376146174809144,0.49315203711588523,0.29648702666341137
Mandrillus sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,1,1,1,FALSE,40,46.33,3.835789699428557,0.76,0.9999120277790478,scansorial,FALSE,1,46.32592424700328,-0.043376146174809144,1.7844429230693208,1.2958516698366012
Miopithecus talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,1,1,1,FALSE,50,30.9,3.4307561839036995,7.68,0.9910299093414927,arboreal,FALSE,0.1,30.622824198652122,0.46045447477874507,0.23228407507502236,0.10326107090680084
